[20-Dec-2015 23:27:17 UTC] PHP Fatal error:  Call to undefined function the() in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/page-bios-dynamic.php on line 47
[20-Dec-2015 23:27:19 UTC] PHP Fatal error:  Call to undefined function the() in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/page-bios-dynamic.php on line 47
[21-Dec-2015 19:56:23 UTC] PHP Fatal error:  Call to undefined function get_() in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/single.php on line 35
[21-Dec-2015 19:56:43 UTC] PHP Fatal error:  Call to undefined function get_() in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/single.php on line 35
[29-Dec-2015 14:33:29 UTC] PHP Parse error:  syntax error, unexpected 'while' (T_WHILE) in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/page-bios.php on line 36
[29-Dec-2015 14:35:40 UTC] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/page-bios.php on line 48
[29-Dec-2015 14:36:03 UTC] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/page-bios.php on line 48
[29-Dec-2015 14:36:05 UTC] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/page-bios.php on line 48
[29-Dec-2015 14:39:20 UTC] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO) in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/page-bios.php on line 55
[29-Dec-2015 14:41:51 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/page-bios.php on line 49
[29-Dec-2015 14:41:55 UTC] PHP Notice:  Undefined variable: offeset_style in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/page-bios.php on line 61
[29-Dec-2015 14:41:55 UTC] PHP Notice:  Undefined variable: offeset_style in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/page-bios.php on line 61
[29-Dec-2015 14:41:55 UTC] PHP Notice:  Undefined variable: offeset_style in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/page-bios.php on line 61
[29-Dec-2015 14:42:27 UTC] PHP Notice:  Undefined variable: offeset_style in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/page-bios.php on line 61
[29-Dec-2015 14:42:27 UTC] PHP Notice:  Undefined variable: offeset_style in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/page-bios.php on line 61
[29-Dec-2015 14:42:27 UTC] PHP Notice:  Undefined variable: offeset_style in /Applications/MAMP/htdocs/rsk/wp-content/themes/bootstrap_tm/page-bios.php on line 61
[29-Dec-2015 18:26:16 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:26:24 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:26:30 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:26:57 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:27:16 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:27:32 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:27:54 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:27:59 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:28:28 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:28:49 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:28:52 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:29:48 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:30:51 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:30:57 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:31:04 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:31:08 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:31:16 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:31:25 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:33:16 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:34:43 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:34:53 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:35:11 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:35:17 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:35:27 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:35:30 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:35:40 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:42:01 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:42:07 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:42:17 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:42:25 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:42:28 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:42:35 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:43:06 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 18:48:11 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
[29-Dec-2015 20:37:59 UTC] PHP Strict Standards:  Only variables should be assigned by reference in /Applications/MAMP/htdocs/rsk/wp-content/plugins/permalink-editor/index.php on line 392
